Date,Rating,Title,Review
Date of stay: December 2022,50,Excellent customer services,I’ve received excellent and courteous services from all the staffs from checking in to housekeeping. Will definitely stay here again next time we visit Saigon. Room is nice and comfy. Staffs were very attentive to my needs
Date of stay: December 2022,10,"Park Hyatt, where's the passion?","We went to Park Lounge to enjoy breakfast and it was completely a sh**show. No SOP, employees ran around like headless chickens. Manning is a big big problem. They didn't mind clearing the tables. (pictured) They raised the bar of arrogance too high. Their doorman never smiles or greets guests. You can check because I tested them by stopping for 5 seconds and staring at them. They acted like robot: no smiles, no greetings. What a Hyatt way! No item confirmation after order, dishes placed to wrong person. Look at the picture attached, one of the chopstick even fall down after the waitress placing it on the table. At least a dish should be used instead of putting the cloth on the table which is not cleaned/cleared frequently with their inadequate manning. No smiles, employees were cold, slow and did not show any passion. Such a nice place with very inviting Christmas decór but it ends there. Maybe being and staying arrogant is the new way of hospitality? Look at what happened to Hyatt Hanoi!!!"
Date of stay: December 2022,50,Everything I thought it would be,"Charming and beautiful hotel near everything right in the center of Saigon city. Friendly staff, beautiful room. We only stayed 2 nights, but I would recommend and stay again. I really hate that it makes you put 200 word minimum on reviews."
Date of stay: December 2022,50,beautiful hotel and excellent service,"very pleasant stay. Extremely professional service, from the front office manager (Patrick) and Guest Experience service (Hang). There was some error from the booking and Hang even helped us to reach out to Hyatt US for the issue. The room is beautifully decorated and great view as well."
Date of stay: December 2022,50,Extraordinary,"I stayed in Pak Hyatt for a week in December 2022. Everything was just beyond my best expectations. Combination of luxury, comfort, absolutely sensational service and extraordinary food. Would strongly recommend and will definitely stay there again."
Date of stay: December 2022,50,Just great,"I could not expect more. The location is wonderful and the service at Hyatt is excellent. The amenities are great and the staff are so helpful. Loan, the housekeeping staff, helped me a lot with my packing upon check-out. I will definitely come back to this hotel whenever I visit Ho Chi Minh city."
Date of stay: December 2022,50,Awesome experience At Park Hyatt,"Located in a very strategic place if you’re looking for nice coffee shops, shops, restaurants. Easy access, nice surroundings to walk around. Breakfast is awesome! Cleanliness as usual, “Park Hyatt” world class. Fitness facilities and pool are great and well maintained."
Date of stay: December 2022,50,Great Park Hyatt,"A great hotel in a great location. I haven’t stayed at this property over 3 years due to pandemic. However, they still remember to stock up my bathroom amenities preference. A little touch like that makes a difference. The room feels luxurious and elegant without going overboard. Highly recommend. Book thru Amex FHR to get better benefits."
Date of stay: November 2022,50,"A wonderful, refined Park Hyatt property","If I'm being frank I wasn't expecting to like the Park Hyatt Saigon as much as I did. I'm a big Park Hyatt fan but from photos the PHS looks quite muted in tone. Perhaps that's because I was likely mentally comparing it to its more outlandish neighbor in the area, The Reverie. I couldn't have been more wrong. Immediately upon walking in, the grand yet understated lobby has a wonderful scene of occasion. Fantastic service across the board, especially at the front desk. The rooms are excellent with superlative attention to detail and a lovely design sensibility. The bathroom are spacious with a tub and shower area that is nicely done, while perhaps not rivaling the combo in a property like the PH Washington DC. There are some great details in the room like the mini bar and the writing desk which elevates the room and gives it a sense of place. The pool, while not having a view like some other properties in Saigon, is large while feeling intimate at the same time, due to how the pool is framed. The service at the pool was friendly and humorous. The drinks could be a wee bit stronger but overall thumbs up.  The bar 2 Lam Son at the PH is a small yet stunning dual level space, with dark wood, seductive lighting and excellent drinks. It feels very much in it's own element. Our experience dining at the property was limited, as we were eating with friends in other districts. I will say the Yuzu Cheescake from the bakery was delicious and a visual treat.  I wouldn't call the PHS a pure ""showstopper"" so-to-speak but it's a top-notch, visually distinctive, refined, tasteful and extremely well located hotel in a gorgeous building (especially at night) next to the Opera House.  Absolutely recommend and would stay again next time we're in Saigon."
Date of stay: November 2022,50,awesome,"wonderful experience. My room had even a fruit, staff was great and helpful. Very nice indeed. The pool waiter offered me a fruit treat. I liked the breakfast very much and the way room was designed also. There is also a lively bar inside the hotel, which was a pleasurable surprise, and a nice lobby with live music and a singer. Very cool."
